idx,a2
1,9.99999992157959
2,9.99999997348103
3,9.99999998718695
4,9.99999995165409
5,9.99999999077373
6,9.99999998080141
7,-4.81461669400833
8,-4.44446791126892
9,-3.33390486611732
10,0.000364173051775619
