x1,x2,x1dot,x2dot,fX,mode_fsign,sigma,mode_true
-0.752759286915825,2.7042858384595,2.7042858384595,1.59846006242884,0.21434880861999,1,1,1
2.25314423110495,0.861794531901061,0.861794531901061,-5.76638660209661,-2.00522676120882,2,-1,2
2.0282850082187,-0.567894726175413,-0.567894726175413,-0.259894862247109,-1.52612540923604,2,-1,2
1.30380828776019,-0.940848796027069,-0.940848796027069,-0.645293113638394,-0.339322966193316,2,-1,2
-0.157241908187142,-2.21275558716371,-2.21275558716371,-2.15415735716511,0.48476625838965,1,1,1
-1.99176345834372,-0.224714250539688,-0.224714250539688,2.6585179815752,-1.4526818350866,2,-1,2
-1.58345017172734,0.731478502688839,0.731478502688839,0.480882057434854,-0.735760548399779,2,-1,2
-0.510329061640153,1.53259812805243,1.53259812805243,1.26636271585932,0.364788796825125,1,1,1
1.64739232521663,1.69093259735472,1.69093259735472,-4.54548419487547,-0.84677826275151,2,-1,2
1.80659095790031,-0.555420182989009,-0.555420182989009,-0.549246916393892,-1.10863805776166,2,-1,2
0.98190592527977,-1.17259575246117,-1.17259575246117,-0.988744206243647,0.0225697862131511,1,1,1
1.39196365086843,0.59195090518222,0.59195090518222,-1.94695480215402,-0.46110851367632,2,-1,2
1.23038812396455,-0.704928854736466,-0.704928854736466,-0.868156952716295,-0.248710699218337,2,-1,2
0.0384071339343131,-1.81023580137379,-1.81023580137379,-1.80762216284336,0.495871354078873,1,1,1
-1.86811990085542,-0.628675557714364,-0.628675557714364,3.43344154644292,-1.21870746811436,2,-1,2
-1.61017873569359,0.686863516632926,0.686863516632926,0.516227999092364,-0.777645397742098,2,-1,2
-0.589824133145662,1.46635762861086,1.46635762861086,1.1614181924915,0.322128756442347,1,1,1
1.54829305735613,1.92477308330257,1.92477308330257,-4.23760793531664,-0.691786688225811,2,-1,2
1.8385064889543,-0.522590820773528,-0.522590820773528,-0.594684883439425,-1.1659011947888,2,-1,2
1.04879171161074,-1.1188276167665,-1.1188276167665,-0.936949166927407,-0.0442504434998023,2,-1,2
-0.712802800496954,-2.59299332662552,-2.59299332662552,-0.913358538051776,0.246684679310169,1,1,1
-1.9797472843705,0.214992996338913,0.214992996338913,1.35209687920979,-1.42887326713098,2,-1,2
-2.06388815734538,-2.06403287798278,-2.06403287798278,8.79188057647361,-1.59806480326351,2,-1,2
-2.1500590773773,0.517986509009334,0.517986509009334,0.273521361160099,-1.77371904410867,2,-1,2
-1.49688599348623,0.825844374393233,0.825844374393233,0.472287571535247,-0.60496028438669,2,-1,2
-0.296333317046204,1.7424350168923,1.7424350168923,1.61544785957084,0.448682092235816,1,1,1
1.83725470961729,1.06586922615966,1.06586922615966,-4.36923224502258,-1.16981480368852,2,-1,2
1.72944823984435,-0.624301610665487,-0.624301610665487,-0.486469217935573,-0.97440920805857,2,-1,2
0.818963109645264,-1.29713054983537,-1.29713054983537,-0.976423372772791,0.166909106229873,1,1,1
-1.18493491500669,-2.47225181992978,-2.47225181992978,2.18389956900161,-0.194373408794853,2,-1,2
-1.91728872337903,0.406784743226804,0.406784743226804,0.828734357793447,-1.30927465671378,2,-1,2
-1.22324221717887,0.982225110860225,0.982225110860225,0.735742755319447,-0.24000488567161,2,-1,2
0.280775295949521,2.27663603641801,2.27663603641801,2.07502311037939,0.450239662227908,1,1,1
-2.6514983269908,2.19705687464961,2.19705687464961,-10.5977287539063,-2.9523455719429,2,-1,2
-1.72876031365883,0.744116562204627,0.744116562204627,0.24900102340524,-0.971822978117186,2,-1,2
-0.734152516323139,1.37534373476359,1.37534373476359,1.02975454492406,0.2287602327482,1,1,1
1.35258708844406,2.29827336298816,2.29827336298816,-3.25898607034506,-0.413573777491607,2,-1,2
1.88985661577347,-0.462437250564606,-0.462437250564606,-0.700672391553295,-1.26016811676781,2,-1,2
1.156415807537,-1.03036077441939,-1.03036077441939,-0.808877673700988,-0.161016481373626,2,-1,2
-0.462369866746962,-2.45168715696394,-2.45168715696394,-1.82870287192823,0.391625119976474,1,1,1
-1.99258437071456,0.0614143368493221,0.0614143368493221,1.81015968671609,-1.45403383609642,2,-1,2
-1.47414851230963,0.801439523289473,0.801439523289473,0.533968718545249,-0.571839055031832,2,-1,2
-0.274330394870404,1.75616066668795,1.75616066668795,1.64464232060515,0.454761590899702,1,1,1
1.85305285469395,1.01825890390325,1.01825890390325,-4.33129634644835,-1.19829347194158,2,-1,2
0.606690070459253,1.24843546677627,1.24843546677627,0.565614138772669,0.309387900396863,1,1,1
1.46548362715054,0.0724159925144446,0.0724159925144446,-1.5485912805647,-0.562615487489255,2,-1,2
0.966322749809747,-0.975834934330039,-0.975834934330039,-0.966952649933264,0.0369190975448557,1,1,1
-0.589801251059376,-2.34731612506152,-2.34731612506152,-1.3255942741954,0.325428969895395,1,1,1
-1.9250944657597,0.109844841202015,0.109844841202015,1.62785556648323,-1.32422929461332,2,-1,2
-1.3734752308485,0.855441745936632,0.855441745936632,0.615182402798287,-0.431256034721794,2,-1,2
-0.0746748329094697,1.92864057960606,1.92864057960606,1.91830225355152,0.488089061219725,1,1,1
1.93439586187704,0.616760221594714,0.616760221594714,-3.62548291172649,-1.34815107168535,2,-1,2
1.66673144123187,-0.673500647029921,-0.673500647029921,-0.4692515357587,-0.869623591417628,2,-1,2
0.68375722494287,-1.41290503762881,-1.41290503762881,-1.07201097745882,0.266875296469969,1,1,1
-1.43400685533932,-2.1726470736218,-2.1726470736218,3.72913834420422,-0.515158842788909,2,-1,2
-2.87649303422519,2.81945911297197,2.81945911297197,-17.6328507749374,-3.561030598972,2,-1,2
-1.96272738672563,0.633294939217698,0.633294939217698,0.156380994966925,-1.39558927300815,2,-1,2
-1.17329179125412,1.04039877444607,1.04039877444607,0.781463434842187,-0.181339321165585,2,-1,2
0.436906373516004,2.44142054260627,2.44142054260627,1.89198483671784,0.39426916586553,1,1,1
1.98763044176586,-0.0327861428584262,-0.0327861428584262,-1.8908891971284,-1.44812294618605,2,-1,2
1.48049262529308,-0.795597917311457,-0.795597917311457,-0.532252553744795,-0.581356241550327,2,-1,2
0.30511610135868,-1.6989931670753,-1.6989931670753,-1.5692290173253,0.451004450925894,1,1,1
-1.81133388185834,-1.11148142733674,-1.11148142733674,4.34654569359337,-1.11643545514935,2,-1,2
-1.72999367227996,0.617847966194566,0.617847966194566,0.49869798753466,-0.973985995516771,2,-1,2
-0.825472153670389,1.27849186924191,1.27849186924191,0.969802297719352,0.159122279084947,1,1,1
1.15263206735815,2.46888819811387,2.46888819811387,-1.96381165924617,-0.167341639810961,2,-1,2
1.99465584480253,-1.72596533593034,-1.72596533593034,3.14639415006682,-1.45495515825782,2,-1,2
0.529612074558416,-1.82226939860668,-1.82226939860668,-1.45969330369754,0.359520922898799,1,1,1
-1.84595811109109,-1.4119344433258,-1.4119344433258,5.24527690261518,-1.17884371834215,2,-1,2
