mode,component,e1,e2,coeff
2,dx2,0,0,0.075752977917411
2,dx2,1,0,-0.506777902942557
2,dx2,0,1,0.483883944028097
2,dx2,2,0,-0.0581705690294879
2,dx2,1,1,0.135337601682864
2,dx2,0,2,3.26969829324106e-15
2,dx2,3,0,-1.36530612791619e-15
2,dx2,2,1,-1.07397230094533
2,dx2,1,2,2.1272066865916e-15
2,dx2,0,3,0
