idx,a1
1,-9.9999999999953
2,-9.99999999999854
3,-9.99999999999894
4,-9.99999999999876
5,-9.99999999999902
6,-9.99999999999855
7,0.00230081286127393
8,3.32746094495157
9,4.4491193188446
10,4.81365485058414
