x1,x2,x1dot,x2dot,fX,mode_fsign,sigma
-2.19945694297669,-1.19988864799387,-1.19988864799387,3.39934559097056,-11.0387357595256,2,-1
-2.20157933064381,-1.1938641391725,-1.1938641391725,3.39544346981631,-11.0655988486924,2,-1
-2.2036910413487,-1.18784655320884,-1.18784655320884,3.39153759455753,-11.0923524297143,2,-1
-2.20579208737338,-1.18183589674316,-1.18183589674316,3.38762798411654,-11.1189962703125,2,-1
-2.20788248101158,-1.17583217638221,-1.17583217638221,3.38371465739379,-11.1455301409106,2,-1
-2.21817509443071,-1.14591784508646,-1.14591784508646,3.36409293951717,-11.2765420960972,2,-1
-2.22820324894132,-1.11617788817865,-1.11617788817865,3.34438113711997,-11.4047719063737,2,-1
-2.23796849416933,-1.08661309397749,-1.08661309397749,3.32458158814682,-11.530193870735,2,-1
-2.24747238648641,-1.05722423022834,-1.05722423022834,3.30469661671475,-11.6527839185614,2,-1
-2.26639522409215,-0.996710972751502,-0.996710972751502,3.26310619684365,-11.8984096889473,2,-1
-2.28421006100173,-0.936967254144158,-0.936967254144158,3.22117731514589,-12.1315283005679,2,-1
-2.3009311358304,-0.877999122859206,-0.877999122859206,3.17893025868961,-12.3519884930349,2,-1
-2.31657278929511,-0.819812259609241,-0.819812259609241,3.13638504890435,-12.5596666245371,2,-1
-2.33082323959329,-0.763734731093137,-0.763734731093137,3.09455797068643,-12.7500929313346,2,-1
-2.34407110907304,-0.708412325162092,-0.708412325162092,3.05248343423513,-12.9281644938315,2,-1
-2.35633003038392,-0.653849333251405,-0.653849333251405,3.01017936363533,-13.0938375748041,2,-1
-2.36761370551308,-0.600049729780868,-0.600049729780868,2.96766343529395,-13.2470902221407,2,-1
-2.377382558203,-0.549969224118597,-0.549969224118597,2.9273517823216,-13.3803564666981,2,-1
-2.38630633451302,-0.500575010932401,-0.500575010932401,2.88688134544542,-13.5025704255488,2,-1
-2.39439671845093,-0.451869665851089,-0.451869665851089,2.84626638430202,-13.613763343671,2,-1
-2.40166543217629,-0.403855526538267,-0.403855526538267,2.80552095871455,-13.7139812386131,2,-1
-2.40772739374953,-0.359600216061523,-0.359600216061523,2.76732760981105,-13.7977905624524,2,-1
-2.41309129523246,-0.315952243304929,-0.315952243304929,2.72904353853739,-13.8721225019867,2,-1
-2.41776679439379,-0.272912960930656,-0.272912960930656,2.69067975532444,-13.9370470460088,2,-1
-2.42176356670004,-0.230483549864312,-0.230483549864312,2.65224711656436,-13.9926437043509,2,-1
-2.42485170699758,-0.191957617876279,-0.191957617876279,2.61680932487386,-14.0356613674262,2,-1
-2.42738025647937,-0.153950218301883,-0.153950218301883,2.58133047478126,-14.0709222078339,2,-1
-2.42935680247001,-0.116461891594334,-0.116461891594334,2.54581869406435,-14.0985080027558,2,-1
-2.43078893783021,-0.0794930614488268,-0.0794930614488268,2.51028199927904,-14.1185062459336,2,-1
-2.43161320706196,-0.0469547075765596,-0.0469547075765596,2.47856791463852,-14.1300177779732,2,-1
-2.43201573079196,-0.0148301036742384,-0.0148301036742384,2.4468458344662,-14.1356353072564,2,-1
-2.43200190693913,0.0168806819179011,0.0168806819179011,2.41512122502123,-14.1354315037393,2,-1
-2.43157713305022,0.0481776509719676,0.0481776509719676,2.38339948207825,-14.1294820405643,2,-1
-2.43093803074789,0.0731441740657043,0.0731441740657043,2.35779385668219,-14.1205400091682,2,-1
-2.43003740727909,0.0978410654994036,0.0978410654994036,2.33219634177969,-14.1079464452845,2,-1
-2.42887810192068,0.122268425220793,0.122268425220793,2.30660967669989,-14.0917451136062,2,-1
-2.4274629524868,0.146426381617909,0.146426381617909,2.28103657086889,-14.071980843092,2,-1
-2.42556017453539,0.173392085575069,0.173392085575069,2.25216808896032,-14.0454264287292,2,-1
-2.42333862865203,0.200014484055845,0.200014484055845,2.22332414459619,-14.0144516079124,2,-1
-2.42080239746101,0.226293891590999,0.226293891590999,2.19450850587002,-13.9791254803235,2,-1
-2.41795555912,0.252230666787329,0.252230666787329,2.16572489233267,-13.9395185648425,2,-1
-2.41441974957136,0.280749180269145,0.280749180269145,2.13367056930222,-13.8903927541621,2,-1
-2.41050842394046,0.308842773441241,0.308842773441241,2.10166565049922,-13.8361349153107,2,-1
-2.40622721511196,0.336512134846052,0.336512134846052,2.06971508026591,-13.7768483764949,2,-1
-2.40158174564488,0.363758017324564,0.363758017324564,2.03782372832032,-13.7126381477485,2,-1
-2.3961797061576,0.392618378566889,0.392618378566889,2.00356132759071,-13.6381280623981,2,-1
-2.39036896196561,0.420989953793497,0.420989953793497,1.96937900817211,-13.5581695430388,2,-1
-2.38415648611599,0.448873928573875,0.448873928573875,1.93528255754211,-13.4728991944447,2,-1
-2.37754923309536,0.476271569274312,0.476271569274312,1.90127766382105,-13.3824551816285,2,-1
-2.37014710267966,0.504691743091067,0.504691743091067,1.86545535958859,-13.2814300185931,2,-1
-2.36232018172126,0.532572211740844,0.532572211740844,1.82974796998041,-13.1749514211832,2,-1
